platform,brand,username,category,region,owner,snapshot_date,followers,suspect
Instagram,7 oils in one,7oilsinoneinternational,Hair Care,,competitor,2025-11-25,9039,False
Instagram,7 oils in one,7oilsinoneinternational,Hair Care,,competitor,2025-12-25,9009,False
Instagram,7 oils in one,7oilsinoneinternational,Hair Care,,competitor,2026-01-01,9000,False
Instagram,7 oils in one,7oilsinoneinternational,Hair Care,,competitor,2026-02-01,8981,False
Instagram,7 oils in one,7oilsinoneinternational,Hair Care,,competitor,2026-03-01,8957,False
Instagram,7 oils in one,7oilsinoneinternational,Hair Care,,competitor,2026-04-01,8936,False
Instagram,7 oils in one,7oilsinoneinternational,Hair Care,,competitor,2026-05-01,8759,False
Instagram,7 oils in one,7oilsinoneinternational,Hair Care,,competitor,2026-06-01,8740,False
Instagram,Cera Ve,Ceravearabia,Skin Care,Arabia,competitor,2026-03-01,116092,False
Instagram,Cera Ve,Ceravearabia,Skin Care,Arabia,competitor,2026-04-01,115503,False
Instagram,Cera Ve,Ceravearabia,Skin Care,Arabia,competitor,2026-05-01,117000,False
Instagram,Cera Ve,Ceravearabia,Skin Care,Arabia,competitor,2026-06-01,117977,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2022-12-01,27000,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-01-01,26900,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-02-01,27100,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-03-01,27200,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-04-01,27412,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-05-01,27525,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-06-01,27700,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-07-01,27800,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-08-01,27700,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-09-01,27700,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-10-01,27700,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-11-01,28000,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2023-12-01,28000,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-01-01,28000,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-02-01,27700,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-03-01,28000,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-04-01,27481,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-05-01,27400,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-06-01,27354,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-07-01,27323,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-08-01,27292,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-09-01,27308,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2024-10-01,27436,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-01-01,27641,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-02-01,27769,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-03-01,28000,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-04-01,28020,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-05-01,28127,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-06-01,28209,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-08-01,28095,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-09-01,28000,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-10-01,27975,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-11-25,27907,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2025-12-25,27845,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2026-01-01,27745,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2026-02-01,27734,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2026-03-01,27650,False
Instagram,Clear,cleararabia,Hair Care,Arabia,competitor,2026-04-01,27603,False
