brand,brand_code,category
Vatika Hair Oil,VHO,Hair Care
Vatika EHO,VEHO,Hair Care
Vatika Shampoo,VSH,Hair Care
Vatika Fruitamins,VFR,Hair Care
Vatika HammamZaith,VHZ,Hair Care
Vatika Bodywash,VBW,Skin Care
Vatika Curls,VCU,Hair Styling
Vatika Hair Cream,VHC,Hair Styling
Vatika HairSpray,VHS,Hair Styling
Vatika Henna,VHE,Hair Styling
Vatika Kit Color,VKC,Hair Styling
Vatika Menz,VMZ,Hair Styling
Vatika,VAT,General
Dabur Amla,DAM,Hair Care
Dabur Amla Kids,DAK,Hair Care
Dabur Amla Batana,DAB,Hair Care
Amla Gold,AMG,Hair Care
Dabur Herbolene,DHL,Skin Care
Dermoviva,DMV,Skin Care
DHTP,DHT,Oral Care
Dabur Miswak,DMW,Oral Care
Red Toothpaste,RTP,Oral Care
FEM,FEM,Depilatory
Dabur Honitus,DHN,Health Care
Dabur PudinHara,DPH,Health Care
Badshah,BAD,Health Care
ORS,ORS,Hair Care
Hobby Shampoo,HSH,Hair Care
Hobby Shower Gel,HSG,Skin Care
Real Juices,RJ,Beverages
All Brands (Amazon),AMZ,General
All Brands (Prime Day),PRD,General
